Date,Close,Volume,Open,High,Low
09/22/2022,$24.7,4346547,$27.17,$27.2732,$24.38
09/21/2022,$26.86,3859156,$27.45,$28.99,$26.77
09/20/2022,$27.54,3145901,$29.28,$29.33,$27.175
09/19/2022,$28.96,3403984,$28.335,$29.6459,$28.15
09/16/2022,$28.64,4656038,$28.33,$28.8,$27.7807
09/15/2022,$28.61,3329490,$27.86,$29.0734,$27.86
09/14/2022,$28.13,3605752,$27.56,$28.45,$26.65
09/13/2022,$27.85,3657164,$27.4,$28.61,$27.3204
09/12/2022,$29.24,6175210,$29.03,$30.3399,$28
09/09/2022,$28.92,7916490,$26.3,$29.08,$26.1
09/08/2022,$25.83,14142210,$25,$26.74,$24.07
09/07/2022,$24.04,12504680,$24.73,$25.19,$23.42
09/06/2022,$25.14,7010190,$25.75,$26.72,$24.6658
09/02/2022,$27.36,4680123,$28.26,$28.74,$26.93
09/01/2022,$27.63,5293858,$28,$28.91,$26.95
08/31/2022,$28.64,5157027,$29.25,$29.96,$28.26
08/30/2022,$29.84,5060206,$31.62,$31.8713,$29.42
08/29/2022,$31.55,4292686,$30.48,$32.7499,$30.38
08/26/2022,$30.94,4297295,$31.5,$32.38,$30.63
08/25/2022,$31.96,4726286,$32.84,$32.89,$31.5014
08/24/2022,$32.5,5620333,$34,$34.935,$32.44
08/23/2022,$33.53,4836309,$34.7,$34.99,$33.4512
08/22/2022,$34.5,5798630,$34.31,$36.2,$34.2
08/19/2022,$36.49,9551861,$35.18,$37.19,$34.67
08/18/2022,$37.93,8145446,$39.27,$40.07,$37.34
08/17/2022,$40.52,9766448,$42.175,$44.36,$40.41
08/16/2022,$42.19,23602780,$39.17,$45.53,$38.6
08/15/2022,$39.68,5243088,$39.75,$40.39,$38.8061
08/12/2022,$40.74,5120040,$40,$41.43,$39.1503
08/11/2022,$39.45,5140480,$40.91,$41.97,$39.35
08/10/2022,$40.53,5434675,$42,$42,$38.6307
08/09/2022,$40.37,6954188,$42.14,$43.1894,$39
08/08/2022,$43.45,18045600,$41.29,$47.99,$40.75
08/05/2022,$40.02,8124235,$37.37,$40.43,$36.56
08/04/2022,$38.36,5421500,$38.34,$39.89,$37.89
08/03/2022,$37.93,5186482,$36.22,$38.01,$36
08/02/2022,$35.84,4697134,$35.9,$36.8,$35.12
08/01/2022,$34.78,4196630,$33.8,$35.71,$33.77
07/29/2022,$34.01,3988750,$33.68,$34.79,$33.06
07/28/2022,$33.84,3207363,$33.39,$34.43,$32.66
07/27/2022,$33.78,4251215,$32.96,$34.12,$32.16
07/26/2022,$32.43,4866070,$32.87,$33.3098,$32.1
07/25/2022,$33.98,5686259,$35,$35.51,$33.25
07/22/2022,$35.78,10060250,$36.88,$38.7,$34.93
07/21/2022,$38.3675,9277796,$39.93,$40,$37.2899
07/20/2022,$39.6875,11400292,$38.5,$40.4075,$38.35
07/19/2022,$37.925,12827820,$37.435,$39.21,$36.5878
07/18/2022,$36.66,11155132,$36.25,$37.4,$35.7741
07/15/2022,$35.41,9832472,$34.86,$35.5925,$33.5075
07/14/2022,$34.05,20970208,$34.7975,$37.9875,$34.05
07/13/2022,$35.32,13703788,$33.75,$36.3375,$33.75
07/12/2022,$34.28,16899680,$32.7,$35.6475,$31.815
07/11/2022,$32.5225,7558344,$32.14,$32.935,$31.1627
07/08/2022,$32.135,13199444,$31.665,$33.1675,$30.6275
07/07/2022,$33.78,30313564,$31.1225,$33.875,$30.4525
07/06/2022,$29.3575,9988996,$30.1725,$30.57,$28.3436
07/05/2022,$30.0575,6045760,$30.375,$30.6199,$29.7525
07/01/2022,$30.855,6617116,$30.2825,$31.2926,$29.8225
06/30/2022,$30.575,6718672,$29.8425,$31.6475,$29.4406
06/29/2022,$30.715,6826496,$30.3875,$31.6225,$29.8975
06/28/2022,$31.095,6621596,$32.7525,$32.8325,$30.57
06/27/2022,$32.4225,9745448,$34.1175,$34.2637,$31.825
06/24/2022,$33.8025,16995764,$35.75,$37.0925,$32.8825
06/23/2022,$35.505,6682900,$35.41,$35.9975,$34.1825
06/22/2022,$34.615,7846916,$34.6675,$36.1824,$34.1075
06/21/2022,$35.07,12512268,$34.555,$36.35,$33.88
06/17/2022,$33.785,12340908,$31.715,$33.9645,$31.5791
06/16/2022,$31.4325,9995056,$31.235,$32.3225,$30.1452
06/15/2022,$32.3225,10764284,$31.2375,$32.99,$30.91
06/14/2022,$31.5425,12739140,$29.3925,$31.9996,$29.025
06/13/2022,$29.5625,13792816,$30.1275,$31.1425,$28.575
06/10/2022,$32.2725,11830196,$31.5,$32.9825,$30.785
06/09/2022,$32.245,13135252,$34.6975,$34.975,$31.835
06/08/2022,$34.6825,24473520,$35.3475,$38.25,$33.9575
06/07/2022,$36.625,24967468,$32.5,$37.4725,$31.5813
06/06/2022,$32.025,9532920,$33.825,$34.0262,$31.7625
06/03/2022,$33.425,18234452,$32.5,$34.525,$31.0584
06/02/2022,$33.5,27918764,$29.75,$34.125,$28.89
06/01/2022,$30.35,14991732,$30.705,$32.3975,$29.2525
05/31/2022,$31.185,19084328,$34.3025,$34.9825,$30.13
05/27/2022,$34.3025,30045076,$35.25,$35.925,$31.75
05/26/2022,$32.115,57892320,$29,$37.115,$28.675
05/25/2022,$28.7925,40060000,$22.535,$28.8684,$22.535
05/24/2022,$22.2875,8879480,$23.5125,$23.55,$21.675
05/23/2022,$24.0325,6993924,$24.1425,$24.32,$22.875
05/20/2022,$23.915,9972096,$24.9525,$25.6025,$22.4375
05/19/2022,$24.7975,12720540,$22.805,$25.4945,$22.54
05/18/2022,$22.87,11560128,$24.095,$24.96,$22.5428
05/17/2022,$25.095,10444948,$23.475,$25.095,$22.8
05/16/2022,$22.95,11582124,$24.7,$24.7937,$22.695
05/13/2022,$24.5975,23930864,$24.75,$26.6939,$23.76
05/12/2022,$22.3925,40139760,$20.76,$27.015,$19.4425
05/11/2022,$20.3325,16681372,$23.3675,$23.8175,$20
05/10/2022,$23.375,16603212,$25.745,$26.515,$22
05/09/2022,$24.6975,13264936,$27.695,$27.695,$24.52
05/06/2022,$28.675,7161632,$29.32,$30.14,$27.5575
05/05/2022,$29.7825,7015448,$30.985,$31.1696,$28.78
